Daily,covid: (United States)
2020-12-29,67
2020-12-30,78
2020-12-31,76
2021-01-01,41
2021-01-02,49
2021-01-03,40
2021-01-04,64
2021-01-05,82
2021-01-06,59
2021-01-07,61
2021-01-08,59
2021-01-09,42
2021-01-10,44
2021-01-11,77
2021-01-12,78
2021-01-13,86
2021-01-14,72
2021-01-15,80
2021-01-16,67
2021-01-17,47
2021-01-18,68
2021-01-19,73
2021-01-20,59
2021-01-21,87
2021-01-22,75
2021-01-23,60
2021-01-24,49
2021-01-25,81
2021-01-26,83
2021-01-27,89
2021-01-28,91
2021-01-29,76
2021-01-30,67
2021-01-31,51
2021-02-01,77
2021-02-02,78
2021-02-03,74
2021-02-04,82
2021-02-05,80
2021-02-06,57
2021-02-07,43
2021-02-08,57
2021-02-09,74
2021-02-10,69
2021-02-11,73
2021-02-12,59
2021-02-13,46
2021-02-14,40
2021-02-15,49
2021-02-16,59
2021-02-17,62
2021-02-18,50
2021-02-19,60
2021-02-20,52
2021-02-21,44
2021-02-22,61
2021-02-23,79
2021-02-24,62
2021-02-25,56
2021-02-26,74
2021-02-27,64
2021-02-28,46
2021-03-01,67
2021-03-02,71
2021-03-03,73
2021-03-04,69
2021-03-05,71
2021-03-06,66
2021-03-07,83
2021-03-08,77
2021-03-09,88
2021-03-10,100
2021-03-11,98
2021-03-12,90
2021-03-13,82
2021-03-14,66
2021-03-15,83
2021-03-16,79
2021-03-17,81
2021-03-18,78
2021-03-19,57
2021-03-20,52
2021-03-21,37
2021-03-22,65
2021-03-23,66
2021-03-24,47
2021-03-25,56
2021-03-26,60
2021-03-27,40
2021-03-28,42
2021-03-29,66
2021-03-30,63
2021-03-31,69
2021-04-01,58
2021-04-02,53
2021-04-03,39
2021-04-04,31
2021-04-05,63
2021-04-06,63
2021-04-07,57
2021-04-08,52
2021-04-09,54
2021-04-10,41
2021-04-11,32
2021-04-12,55
2021-04-13,53
2021-04-14,63
2021-04-15,59
2021-04-16,48
2021-04-17,31
2021-04-18,45
2021-04-19,53
2021-04-20,44
2021-04-21,48
2021-04-22,48
2021-04-23,49
2021-04-24,34
2021-04-25,31
2021-04-26,62
2021-04-27,62
2021-04-28,55
2021-04-29,45
2021-04-30,51
2021-05-01,77
2021-05-02,39
2021-05-03,39
2021-05-04,46
2021-05-05,41
2021-05-06,43
2021-05-07,37
2021-05-08,29
2021-05-09,27
2021-05-10,48
2021-05-11,38
2021-05-12,47
2021-05-13,38
2021-05-14,47
2021-05-15,32
2021-05-16,36
2021-05-17,53
2021-05-18,41
2021-05-19,44
2021-05-20,38
2021-05-21,32
2021-05-22,20
2021-05-23,32
2021-05-24,46
2021-05-25,48
2021-05-26,38
2021-05-27,28
2021-05-28,27
2021-05-29,21
2021-05-30,26
2021-05-31,31
2021-06-01,44
2021-06-02,33
2021-06-03,36
2021-06-04,32
2021-06-05,22
2021-06-06,23
2021-06-07,29
2021-06-08,32
2021-06-09,31
2021-06-10,34
2021-06-11,33
2021-06-12,22
2021-06-13,15
2021-06-14,33
2021-06-15,31
2021-06-16,28
2021-06-17,25
2021-06-18,30
2021-06-19,22
2021-06-20,14
2021-06-21,29
2021-06-22,33
2021-06-23,23
2021-06-24,28
2021-06-25,29
2021-06-26,21
2021-06-27,21
2021-06-28,25
2021-06-29,35
2021-06-30,34
2021-07-01,22
2021-07-02,23
2021-07-03,17
2021-07-04,19
2021-07-05,20
2021-07-06,28
2021-07-07,36
2021-07-08,32
2021-07-09,30
2021-07-10,22
2021-07-11,22
2021-07-12,32
2021-07-13,30
2021-07-14,27
2021-07-15,33
2021-07-16,33
2021-07-17,22
2021-07-18,23
2021-07-19,39
2021-07-20,37
2021-07-21,36
2021-07-22,42
2021-07-23,36
2021-07-24,22
2021-07-25,23
2021-07-26,39
2021-07-27,46
2021-07-28,47
2021-07-29,44
2021-07-30,35
2021-07-31,34
2021-08-01,29
2021-08-02,48
2021-08-03,52
2021-08-04,100
2021-08-05,63
2021-08-06,54
2021-08-07,38
2021-08-08,31
2021-08-09,57
2021-08-10,51
2021-08-11,58
2021-08-12,54
2021-08-13,43
2021-08-14,37
2021-08-15,35
2021-08-16,44
2021-08-17,49
2021-08-18,50
2021-08-19,51
2021-08-20,58
2021-08-21,31
2021-08-22,28
2021-08-23,41
2021-08-24,54
2021-08-25,52
2021-08-26,51
2021-08-27,46
2021-08-28,35
2021-08-29,32
2021-08-30,44
2021-08-31,43
2021-09-01,76
2021-09-02,53
2021-09-03,37
2021-09-04,30
2021-09-05,26
2021-09-06,35
2021-09-07,52
2021-09-08,37
2021-09-09,41
2021-09-10,45
2021-09-11,32
2021-09-12,20
2021-09-13,40
2021-09-14,41
2021-09-15,45
2021-09-16,28
2021-09-17,38
2021-09-18,22
2021-09-19,34
2021-09-20,49
2021-09-21,40
2021-09-22,33
2021-09-23,38
2021-09-24,34
2021-09-25,27
2021-09-26,21
2021-09-27,45
2021-09-28,32
2021-09-29,40
2021-09-30,35
2021-10-01,26
2021-10-02,21
2021-10-03,19
2021-10-04,27
2021-10-05,25
2021-10-06,36
2021-10-07,29
