multiTimeline (10)
Category: Finance,,,,,
,,,,,
Month,war: (United States),impeachment: (United States),catastrophe: (United States),natural disaster: (United States),inflation: (United States)
2011-04,36,0,6,0,72
2011-05,21,0,11,<1,53
2011-06,26,0,10,<1,44
2011-07,27,0,7,<1,45
2011-08,18,0,8,<1,55
2011-09,26,0,11,<1,46
2011-10,29,0,9,1,52
2011-11,24,0,5,0,45
2011-12,31,<1,7,1,39
2012-01,28,<1,7,1,47
2012-02,32,1,5,0,53
2012-03,29,<1,8,0,49
2012-04,26,0,7,0,50
2012-05,22,<1,8,0,40
2012-06,20,0,8,0,35
2012-07,19,0,5,0,38
2012-08,21,<1,6,0,33
2012-09,21,0,8,<1,39
2012-10,25,<1,8,1,45
2012-11,22,<1,11,<1,38
2012-12,20,<1,4,<1,32
2013-01,27,0,4,0,37
2013-02,29,<1,7,<1,50
2013-03,31,0,5,0,46
2013-04,26,<1,7,1,49
2013-05,24,0,9,<1,39
2013-06,27,<1,7,0,32
2013-07,23,0,4,0,36
2013-08,24,0,4,<1,34
2013-09,26,<1,4,<1,43
2013-10,20,0,5,0,50
2013-11,21,<1,3,<1,44
2013-12,20,0,3,0,36
2014-01,22,<1,4,1,40
2014-02,19,0,5,0,43
2014-03,25,0,5,<1,43
2014-04,21,1,7,<1,50
2014-05,20,0,4,<1,42
2014-06,20,0,5,<1,31
2014-07,22,1,7,0,34
2014-08,28,1,4,0,34
2014-09,24,1,7,0,47
2014-10,28,0,5,0,46
2014-11,24,0,5,0,46
2014-12,30,0,5,0,41
2015-01,30,1,3,<1,48
2015-02,33,<1,3,<1,47
2015-03,36,<1,5,1,51
2015-04,32,0,3,0,47
2015-05,23,0,4,0,40
2015-06,28,0,6,0,30
2015-07,28,0,4,1,36
2015-08,24,0,7,0,35
2015-09,31,1,4,0,37
2015-10,28,<1,8,0,45
2015-11,27,0,5,<1,50
2015-12,34,1,3,0,46
2016-01,23,<1,6,<1,44
2016-02,30,0,5,<1,48
2016-03,34,<1,6,<1,42
2016-04,28,1,6,1,46
2016-05,35,2,8,<1,32
2016-06,24,0,5,0,33
2016-07,23,0,6,0,28
2016-08,26,<1,5,1,22
2016-09,25,1,7,<1,33
2016-10,28,1,7,1,37
2016-11,24,1,3,<1,43
2016-12,24,<1,3,<1,39
2017-01,29,2,4,1,35
2017-02,30,2,5,<1,44
2017-03,29,1,4,1,40
2017-04,35,1,6,<1,39
2017-05,29,3,5,<1,42
2017-06,17,1,7,1,30
2017-07,25,1,6,<1,33
2017-08,25,1,9,1,30
2017-09,23,<1,17,7,43
2017-10,26,<1,6,2,49
2017-11,27,4,5,1,43
2017-12,28,1,5,1,42
2018-01,25,1,5,3,45
2018-02,28,<1,7,2,59
2018-03,36,<1,5,1,44
2018-04,56,1,6,1,46
2018-05,45,1,5,1,45
2018-06,38,1,7,<1,38
2018-07,35,1,5,1,37
2018-08,29,2,6,<1,41
2018-09,35,1,10,1,46
2018-10,31,<1,8,1,49
2018-11,36,<1,6,2,41
2018-12,26,2,4,1,46
2019-01,32,1,6,<1,46
2019-02,31,1,7,<1,46
2019-03,30,<1,8,1,49
2019-04,29,1,6,1,49
2019-05,49,3,7,1,44
2019-06,35,<1,6,1,35
2019-07,24,1,5,<1,37
2019-08,39,<1,7,<1,31
2019-09,28,7,5,<1,41
2019-10,30,12,4,1,48
2019-11,31,17,6,<1,48
2019-12,26,40,5,1,43
2020-01,49,18,7,1,38
2020-02,25,15,5,1,47
2020-03,44,1,6,2,48
2020-04,37,1,3,3,52
2020-05,30,<1,4,<1,46
2020-06,28,<1,4,1,39
2020-07,23,<1,4,1,43
2020-08,24,<1,5,<1,46
2020-09,25,1,4,1,45
2020-10,23,1,5,1,42
2020-11,33,<1,5,1,34
2020-12,26,1,3,1,47
2021-01,31,19,4,5,52
2021-02,27,17,5,16,67
2021-03,24,1,7,5,74
2021-04,23,<1,5,2,63
2021-05,23,0,6,3,100
2021-06,21,<1,4,1,80
2021-07,29,<1,5,1,60
2021-08,21,5,4,1,53
2021-09,23,35,8,1,48
2021-10,6,0,0,0,32
